區 域 別,性別,總計,合計_0~4歲,0歲,1歲,2歲,3歲,4歲,合計_5~9歲,5歲,6歲,7歲,8歲,9歲,合計_10~14歲,10歲,11歲,12歲,13歲,14歲,合計_15~19歲,15歲,16歲,17歲,18歲,19歲,合計_20~24歲,20歲,21歲,22歲,23歲,24歲,合計_25~29歲,25歲,26歲,27歲,28歲,29歲,合計_30~34歲,30歲,31歲,32歲,33歲,34歲,合計_35~39歲,35歲,36歲,37歲,38歲,39歲,合計_40~44歲,40歲,41歲,42歲,43歲,44歲,合計_45~49歲,45歲,46歲,47歲,48歲,49歲,合計_50~54歲,50歲,51歲,52歲,53歲,54歲,合計_55~59歲,55歲,56歲,57歲,58歲,59歲,合計_60~64歲,60歲,61歲,62歲,63歲,64歲,合計_65~69歲,65歲,66歲,67歲,68歲,69歲,合計_70~74歲,70歲,71歲,72歲,73歲,74歲,合計_75~79歲,75歲,76歲,77歲,78歲,79歲,合計_80~84歲,80歲,81歲,82歲,83歲,84歲,合計_85~89歲,85歲,86歲,87歲,88歲,89歲,合計_90~94歲,90歲,91歲,92歲,93歲,94歲,合計_95~99歲,95歲,96歲,97歲,98歲,99歲,100歲以上
總  計,計,2488043,87081,13244,16616,17363,19406,20452,114378,21942,23100,23413,24143,21780,110936,26507,23360,19553,21106,20410,99873,21130,19918,19411,19663,19751,117936,21512,21734,26333,25025,23332,142491,27827,27887,29287,28633,28857,152986,28875,28948,31518,29675,33970,174297,30847,30481,35032,38312,39625,214251,42076,43693,42738,43522,42222,193273,38174,45029,37098,36758,36214,186341,35852,36910,38092,38046,37441,186318,35963,36804,37231,38051,38269,186064,37478,36711,37407,36879,37589,177773,35655,37112,36605,34813,33588,146227,33428,32993,29096,27411,23299,79430,20804,16197,13033,14812,14584,59684,13707,12964,12334,10922,9757,34146,8552,7529,6870,5900,5295,17875,4710,4239,3564,2999,2363,5611,1888,1460,1016,735,512,1072
總  計,男,1180304,44886,6784,8539,9012,9961,10590,59035,11291,11954,12214,12327,11249,57605,13680,12189,10191,10891,10654,52065,10952,10282,10300,10315,10216,61159,11205,11191,13675,12971,12117,72233,14271,14180,14887,14505,14390,75116,14437,14482,15573,14450,16174,81784,14674,14071,16434,18021,18584,100276,19931,20403,20032,20197,19713,89685,17704,21008,16955,16971,17047,85648,16568,17017,17564,17363,17136,85803,16564,16946,17240,17513,17540,85227,17213,16868,17199,16733,17214,81311,15994,16913,16947,16090,15367,65934,15273,14930,12994,12233,10504,34863,9238,7360,5633,6409,6223,24147,5834,5256,5006,4265,3786,12846,3200,2790,2500,2293,2063,7653,1910,1817,1556,1323,1047,2497,851,638,478,319,211,531
總  計,女,1307739,42195,6460,8077,8351,9445,9862,55343,10651,11146,11199,11816,10531,53331,12827,11171,9362,10215,9756,47808,10178,9636,9111,9348,9535,56777,10307,10543,12658,12054,11215,70258,13556,13707,14400,14128,14467,77870,14438,14466,15945,15225,17796,92513,16173,16410,18598,20291,21041,113975,22145,23290,22706,23325,22509,103588,20470,24021,20143,19787,19167,100693,19284,19893,20528,20683,20305,100515,19399,19858,19991,20538,20729,100837,20265,19843,20208,20146,20375,96462,19661,20199,19658,18723,18221,80293,18155,18063,16102,15178,12795,44567,11566,8837,7400,8403,8361,35537,7873,7708,7328,6657,5971,21300,5352,4739,4370,3607,3232,10222,2800,2422,2008,1676,1316,3114,1037,822,538,416,301,541
松山區,計,190772,6538,938,1267,1281,1463,1589,9806,1708,1892,1963,2152,2091,10697,2652,2372,1996,1904,1773,7657,1728,1545,1471,1473,1440,8663,1609,1582,1983,1852,1637,10020,1983,1990,2096,1978,1973,10570,2042,1947,2186,2069,2326,12402,2238,2042,2450,2797,2875,16133,3095,3223,3288,3349,3178,15231,2967,3601,2920,2924,2819,14035,2789,2911,2852,2744,2739,13551,2712,2670,2666,2734,2769,13381,2685,2693,2660,2612,2731,13261,2573,2745,2752,2585,2606,11797,2562,2628,2382,2248,1977,7013,1832,1498,1133,1291,1259,4934,1128,1095,1079,834,798,2832,693,605,582,496,456,1553,395,397,292,267,202,571,213,138,94,71,55,127
松山區,男,89059,3421,482,654,689,767,829,5000,863,959,1028,1054,1096,5528,1370,1206,1071,951,930,4032,928,767,792,772,773,4487,824,828,1025,953,857,5100,977,1028,1086,984,1025,5047,994,945,1072,960,1076,5650,1049,933,1092,1261,1315,7285,1432,1414,1448,1545,1446,6717,1312,1601,1258,1322,1224,6314,1284,1355,1281,1253,1141,6091,1271,1210,1140,1258,1212,5952,1162,1246,1212,1145,1187,5968,1120,1221,1286,1181,1160,5213,1124,1148,1106,984,851,3113,824,669,482,574,564,2112,514,476,467,350,305,1058,242,226,209,184,197,654,179,160,123,118,74,265,95,68,46,32,24,52
松山區,女,101713,3117,456,613,592,696,760,4806,845,933,935,1098,995,5169,1282,1166,925,953,843,3625,800,778,679,701,667,4176,785,754,958,899,780,4920,1006,962,1010,994,948,5523,1048,1002,1114,1109,1250,6752,1189,1109,1358,1536,1560,8848,1663,1809,1840,1804,1732,8514,1655,2000,1662,1602,1595,7721,1505,1556,1571,1491,1598,7460,1441,1460,1526,1476,1557,7429,1523,1447,1448,1467,1544,7293,1453,1524,1466,1404,1446,6584,1438,1480,1276,1264,1126,3900,1008,829,651,717,695,2822,614,619,612,484,493,1774,451,379,373,312,259,899,216,237,169,149,128,306,118,70,48,39,31,75
信義區,計,204414,6867,1075,1294,1445,1526,1527,7904,1604,1632,1613,1606,1449,7008,1590,1356,1283,1379,1400,7457,1505,1402,1488,1474,1588,9515,1683,1819,2194,1988,1831,12022,2307,2352,2425,2431,2507,13312,2491,2487,2725,2611,2998,14458,2579,2619,2941,3130,3189,16992,3352,3518,3325,3404,3393,15408,2948,3577,2920,2964,2999,15338,2947,2977,3143,3204,3067,15775,2978,3162,3195,3178,3262,15751,3160,3096,3118,3177,3200,15274,3043,3175,3127,2997,2932,13264,2927,2988,2629,2556,2164,7389,1942,1490,1260,1338,1359,5512,1321,1206,1133,1006,846,2968,734,668,607,488,471,1564,380,367,342,273,202,519,148,141,107,72,51,117
信義區,男,96825,3548,568,676,740,762,802,4053,813,811,836,836,757,3718,847,722,683,739,727,3915,768,726,829,784,808,5010,890,974,1145,1036,965,6105,1183,1201,1229,1244,1248,6524,1236,1212,1354,1289,1433,6875,1225,1220,1388,1503,1539,7972,1548,1681,1515,1633,1595,7313,1377,1711,1350,1381,1494,7028,1351,1354,1475,1463,1385,7194,1341,1433,1471,1450,1499,7299,1535,1431,1412,1441,1480,6906,1359,1442,1442,1370,1293,5811,1294,1287,1145,1139,946,3183,859,659,555,548,562,2192,542,456,461,406,327,1130,271,254,221,192,192,718,152,176,152,139,99,268,66,77,60,36,29,63
信義區,女,107589,3319,507,618,705,764,725,3851,791,821,777,770,692,3290,743,634,600,640,673,3542,737,676,659,690,780,4505,793,845,1049,952,866,5917,1124,1151,1196,1187,1259,6788,1255,1275,1371,1322,1565,7583,1354,1399,1553,1627,1650,9020,1804,1837,1810,1771,1798,8095,1571,1866,1570,1583,1505,8310,1596,1623,1668,1741,1682,8581,1637,1729,1724,1728,1763,8452,1625,1665,1706,1736,1720,8368,1684,1733,1685,1627,1639,7453,1633,1701,1484,1417,1218,4206,1083,831,705,790,797,3320,779,750,672,600,519,1838,463,414,386,296,279,846,228,191,190,134,103,251,82,64,47,36,22,54
大安區,計,285933,10316,1513,1871,2067,2383,2482,15601,2735,3055,3196,3438,3177,16290,3986,3562,3008,2961,2773,11952,2839,2398,2260,2212,2243,12694,2337,2320,2857,2668,2512,14257,2803,2902,2924,2860,2768,14506,2763,2762,3004,2730,3247,17570,2907,3043,3517,4026,4077,23698,4443,4734,4771,4883,4867,22190,4339,5281,4242,4218,4110,20625,4031,4164,4154,4264,4012,20449,3916,3987,4125,4281,4140,19963,4063,3935,4035,3916,4014,20003,3983,4100,3967,4024,3929,18375,3996,4022,3706,3533,3118,10803,2879,2187,1759,1990,1988,8033,1814,1750,1640,1483,1346,4779,1154,1059,953,875,738,2730,738,615,522,484,371,919,298,240,165,129,87,180
