Alias Name,Back First Bus Time,Back Last Bus Time,Build Period,Bus Time Desc,BusInfo.索引(已產生),Center Name,Coordinate System,Departure En,Departure Zh,Destination En,Destination Zh,Distance,Genus,Go First Bus Time,Go Last Bus Time,Headway Desc,Holiday Back First Bus Time,Holiday Back Last Bus Time,Holiday Bus Time Desc,Holiday Go First Bus Time,Holiday Go Last Bus Time,Holiday Headway Desc,Holiday Off Peak Headway,Holiday Peak Headway,Id,N Id,Name,Name En,Name Zh,Off Peak Headway,Path Attribute Ename,Path Attribute Id,Path Attribute N Id,Path Attribute Name,Peak Headway,Provider Id,Provider Name,Real Sequence,Road Map Url,Segment Buffer En,Segment Buffer Zh,Ticket Price Description En,Ticket Price Description Zh,Ttia Path Id,Update Time,文件索引(已產生),表名稱,每個 GetRoute+ 的記錄數
,0520,2300,4,,,台北市公車動態資訊中心,WGS84,Wanhua,萬華,Songren Rd.,松仁路,24,01;02,0520,2300,平日0630、1015班次為狗狗友善公車,0520,2300,,0520,2300,例假日0800、1100、1600班次為狗狗友善公車,1015,1015,10723,0100000100,台北市,1,1,1015,1,10723,0100000101,1,0710,700,欣欣客運,90,https://ebus.gov.taipei/MapOverview?nid=0100000100,,,1 segment,一段票,0001000,2023/06/04 16:14:36,,1,0
,0540,2300,3,,,台北市公車動態資訊中心,WGS84,Taipei University of Maritime Technology,台北海大,NTU Hospital,臺大醫院,24.6,01,0540,2300,,0540,2300,,0540,2300,,,,10262,0100000200,台北市,2,2,,2,102620,0100000201,2,,200,首都客運,23,https://ebus.gov.taipei/MapOverview?nid=0100000200,(Go)Shezi Elementary School 2－Liangzhou & Chongqing Roads、(Back)Liangzhou & Chongqing Roads－Zhoumei Bridge,(往)社子國小二→涼州重慶路口、(返)涼州重慶路口─洲美橋,2 segments,兩段票,0002000,2023/06/04 16:14:36,,2,0
,0530,2220,4,,,台北市公車動態資訊中心,WGS84,Zhonghe,中和,Xingtiangong,行天宮,28.5,01,0530,2220,,0540,2220,,0540,2220,,,,11861,0100000500,台北市,5,5,2030,5,11861,0100000501,5,1520,800,大都會客運,55,https://ebus.gov.taipei/MapOverview?nid=0100000500,ZhongShan Market-Nanmen,中山市場-南門,2 segments,兩段票,0005000,2023/06/04 16:14:36,,3,0
,0550,2300,4,,,台北市公車動態資訊中心,WGS84,Shezi Elementary School,社子國小,Wanhua,萬華,18.1,01;02,0550,2300,平日21:00後固定班次,0550,2300,,0550,2300,,,,10882,0100000900,台北市,9,9,1520,9,10882,0100000901,9,1215,800,大都會客運,57,https://ebus.gov.taipei/MapOverview?nid=0100000900,,,1 segment,一段票,0009000,2023/06/04 16:14:36,,4,0
,0600,2130,3,每日08:00~21:30繞駛三總內湖站,,台北市公車動態資訊中心,WGS84,Neihu,內湖,Taipei Main Sta.,臺北車站,36.5,01,0600,2130,平日08:00~21:30繞駛三總內湖站；平日0920、1300班次為狗狗友善公車,0600,2130,,0600,2130,假日08:00~21:30繞駛三總內湖站；例假日0900、1330、1620班次為狗狗友善公車,,,10841,0100000A00,台北市,0East,0東,,0-East,108410,0100000A01,0東經三總,,800,大都會客運,41,https://ebus.gov.taipei/MapOverview?nid=0100000A00,(Depart)Xinyi Li－Zhongxiao & (Return)Dunhua Roads、(Back)MRT Zhongxiao Dunhua－Xinyi Li,(往)新益里－忠孝敦化路口、(返)捷運忠孝敦化站－新益里,2 segments,兩段票,0000100,2023/06/04 16:14:36,,5,0
,0600,2250,3,,,台北市公車動態資訊中心,WGS84,Wanfang Community,萬芳社區,MRT Dongmen Sta.,捷運東門站,17.8,01;02,0600,2250,,0625,2250,,0625,2250,例假日固定班次,,,11811,0100000B00,台北市,0South,0南,2030,0-South,118110,0100000B01,0南,1520,800,大都會客運,56,https://ebus.gov.taipei/MapOverview?nid=0100000B00,,,1 segment,一段票,0000200,2023/06/04 16:14:36,,6,0
,0530,2230,3,,,台北市公車動態資訊中心,WGS84,Dongyuan,東園,Mingsheng Community,民生社區,24.8,01;02,0530,2230,平日0900、1500班次為狗狗友善公車,0530,2230,,0530,2230,例假日0730、1230、1630班次為狗狗友善公車,1520,1520,10864,0100001200,台北市,12,12,1520,12,108640,0100001201,12,1215,800,大都會客運,55,https://ebus.gov.taipei/MapOverview?nid=0100001200,,,1 segment,一段票,0012000,2023/06/04 16:14:36,,7,0
,0530,2300,3,,,台北市公車動態資訊中心,WGS84,Luzhou,蘆洲,Taipei Main Sta.,臺北車站,27.3,01;02,0530,2300,,0530,2300,,0530,2300,,1520,1520,10891,0100001400,台北市,14,14,1520,14,108910,0100001401,14,1215,800,大都會客運,74,https://ebus.gov.taipei/MapOverview?nid=0100001400,Yongan Li－Chongan. St. Entrance,永安里－重安街口,2 segments,兩段票,0014000,2023/06/04 16:14:36,,8,0
,0525,2300,4,,,台北市公車動態資訊中心,WGS84,Wanhua,萬華,MRT Linguang Sta.,捷運麟光站,23.1,01,0525,2300,2100後固定班次,0525,2300,,0525,2300,2100後固定班次,1520,1520,10726,0100001800,台北市,18,18,1520,18,10726,0100001801,18,1215,700,欣欣客運,71,https://ebus.gov.taipei/MapOverview?nid=0100001800,,,1 segment,一段票,0018000,2023/06/04 16:14:36,,9,0
,0530,2300,4,,,台北市公車動態資訊中心,WGS84,Yongchun High School,永春高中,Youth Park,青年公園,16.2,01;02,0530,2300,,0550,2300,,0550,2300,,1520,1520,10873,0100002000,台北市,20,20,1520,20,10873,0100002001,20,0812,800,大都會客運,127,https://ebus.gov.taipei/MapOverview?nid=0100002000,,,1 segment,一段票,0020000,2023/06/04 16:14:36,,10,0
