編號,路線名稱,起迄站
1,0東,內湖–臺北車站
2,0南,萬芳社區–捷運東門站
3,1,萬華–松仁路
4,2,台北海院–臺大醫院
5,5,中和–行天宮
6,9,社子國小–萬華
7,12,東園–民生社區
8,14,蘆洲–臺北車站
9,18,萬華–捷運麟光站
10,20,永春高中–青年公園
11,21,捷運圓山站–捷運文德站
12,22,吳興街–衡陽路
13,26,社子–行天宮
14,28,大直–臺北市政府
15,32,吳興街–南港花園社區
16,33,永春高中–大直美麗華
17,37,吳興街–捷運台大醫院站
18,38,環南市場–大安國宅
19,39,三重–臺北車站
20,41,北投士林科技園區–捷運大安站
21,42,大直–北門
22,46,松德調度站–圓環
23,49,建國北路–東園
24,52,景明街口–聯合醫院中興院區
25,53,東湖–西松高中
26,63,內湖–臺北車站
27,66,捷運動物園站–松山車站
28,68,洲美里–捷運劍潭站
29,72,大直–捷運麟光站
30,88,重陽路–臺北車站
31,201,中和–捷運龍山寺站
32,202,中和–捷運國父紀念館站
33,203,北峰里–天母
34,204,東園–麥帥新城
35,205,中華科技大學–青年公園
36,206,天母–中華路
37,207,內湖調度站–南勢角
38,208,中和–捷運劍南路站
39,211,二重–捷運麟光站
40,212,舊莊–青年公園
41,214,中和–內湖
42,215,台北海大–臺北車站
43,216,新北投–榮總
44,218,新北投–萬華
45,221,蘆洲–臺北車站
46,222,內湖–衡陽路
47,223,關渡–青年公園
48,224,天母–捷運石牌站
49,225,蘆洲–民生社區
50,226,三重–吳興街
51,227,三重–永和
52,230,捷運北投站–陽明山
53,232,蘆洲–捷運善導寺站
54,234,板橋–捷運西門站
55,235,新莊–國父紀念館
56,237,捷運動物園站–捷運東門站
57,240直達,東湖–國父紀念館
58,246,普濟堂–果菜市場
59,247,東湖–衡陽路
60,250,北投士林科技園區–青年公園
61,251,東南科技大學–臺北車站
62,252,石壁坑–臺北車站
63,253,景美女中–臺北車站
64,254,大鵬新城–民生社區
65,255,兒童新樂園–雙溪
66,256,大直–松山車站
67,257,新莊高中–南港花園社區
68,260,陽明山–東園
69,261,蘆洲–臺大醫院
70,262,宏國徳霖科大–民生社區
71,265,土城中央路–行政院
72,267,捷運大湖公園站–天母
73,268,大直–天母
74,270,中華科技大學–捷運西門站
75,274,蘆洲–臺北車站
76,276,舊莊–衡陽路
77,277,松德調度站–榮總
78,278,捷運景美站–捷運內湖站
79,279,天母–內湖焚化廠
80,280,天母–公館
81,281,東湖–臺北市政府
82,282,動物園–園環
83,284,汐止社后–景美
84,286,福德街–國防醫學中心
85,287,東湖–臺北橋
86,288,士林–吳興街
87,292,二重–捷運麟光站
88,294,動物園–仁愛國中
89,295,動物園–臺北車站
90,297,中和–成功中學
91,298,萬芳社區–行天宮
92,299,新莊–永春高中
93,300,故宮博物院–小南門
94,302,關渡宮–萬華
95,303,捷運劍潭站–平等里
96,304,故宮博物院–永和
97,306,舊莊–蘆洲
98,307,板橋–撫遠街
99,308,淡江大學–捷運劍潭站
100,310,板橋–士林
101,311,中和–松山
102,505,撫遠街–景美
103,508,泰山–惇敘工商
104,513,輔大–捷運臺大醫院站
105,521,內湖–捷運忠孝復興站
106,529,兒童新樂園–新光醫院
107,530,指南宮–公館
108,531,紫雲里–松山車站
109,536,台北海院–大同之家
110,539,三重–馬偕醫院
111,542,捷運圓山站–捷運中山國中站
112,550,關渡宮–洲美運動公園
113,551,內湖科技園區–捷運昆陽站
114,552,金龍寺–捷運市政府站
115,553,南港車站–金龍寺
116,556,木柵象頭埔–捷運劍潭站
117,557,士林高商–東吳大學
118,559,捷運石牌站–陽明大學
119,568,萬華–麟光新村
120,600,南港高工–臺北車站
121,602,天母–北投
122,604,板橋–臺北車站
123,605,汐止–臺北車站
124,606,萬芳社區–榮總
125,611,捷運動物園站–松山車站
126,612,松德調度站–惇敘工商
127,615,丹鳳–臺北車站
128,616,泰山–天母
129,617,泰山–內湖
130,620,士林高商–中華科技大學
131,621,二重–捷運臺大醫院站
132,622,泰山–捷運中山站
133,630,東園–東湖
134,641,五股坑–臺北車站
135,643,錦繡–復興北村
136,644,青潭–博愛路
137,645,舊莊–榮總
138,646,東湖–捷運劍潭站
139,647,大崎腳–捷運市政府站
140,648,錦繡–臺北車站
141,651,板橋–臺北市政府
142,652,新莊–內湖
143,660,深坑–圓環
144,662,三重–一女中
